video_path,frame_0,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,label
FF_data/real/original_sequences/youtube/c40/images/878,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/real/original_sequences/youtube/c40/images/878,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/real/original_sequences/youtube/c40/images/878,0501.png,0511.png,0521.png,0531.png,0541.png,0551.png,0561.png,0571.png,0581.png,0591.png,0
FF_data/real/original_sequences/youtube/c40/images/878,0601.png,0611.png,0621.png,0631.png,0641.png,0651.png,0661.png,0671.png,0681.png,0691.png,0
FF_data/real/original_sequences/youtube/c40/images/599,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/real/original_sequences/youtube/c40/images/599,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/real/original_sequences/youtube/c40/images/599,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/real/original_sequences/youtube/c40/images/253,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/real/original_sequences/youtube/c40/images/253,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/real/original_sequences/youtube/c40/images/253,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/real/original_sequences/youtube/c40/images/253,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/real/original_sequences/youtube/c40/images/253,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/real/original_sequences/youtube/c40/images/469,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/real/original_sequences/youtube/c40/images/469,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/real/original_sequences/youtube/c40/images/469,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/real/original_sequences/youtube/c40/images/469,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/real/original_sequences/youtube/c40/images/183,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/real/original_sequences/youtube/c40/images/183,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/real/original_sequences/youtube/c40/images/183,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/183_253,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/183_253,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/183_253,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/599_585,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/599_585,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/599_585,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/672_720,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/672_720,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/672_720,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/672_720,0300.png,0310.png,0320.png,0330.png,0340.png,0350.png,0360.png,0370.png,0380.png,0390.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/672_720,0400.png,0410.png,0420.png,0430.png,0440.png,0450.png,0460.png,0470.png,0480.png,0490.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/469_481,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/469_481,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/469_481,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/469_481,0300.png,0310.png,0320.png,0330.png,0340.png,0350.png,0360.png,0370.png,0380.png,0390.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/585_599,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/585_599,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/585_599,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/481_469,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/481_469,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/481_469,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/481_469,0300.png,0310.png,0320.png,0330.png,0340.png,0350.png,0360.png,0370.png,0380.png,0390.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/253_183,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/253_183,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/253_183,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/253_183,0300.png,0310.png,0320.png,0330.png,0340.png,0350.png,0360.png,0370.png,0380.png,0390.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/253_183,0400.png,0410.png,0420.png,0430.png,0440.png,0450.png,0460.png,0470.png,0480.png,0490.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/878_866,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/878_866,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/878_866,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/878_866,0300.png,0310.png,0320.png,0330.png,0340.png,0350.png,0360.png,0370.png,0380.png,0390.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/878_866,0400.png,0410.png,0420.png,0430.png,0440.png,0450.png,0460.png,0470.png,0480.png,0490.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/878_866,0500.png,0510.png,0520.png,0530.png,0540.png,0550.png,0560.png,0570.png,0580.png,0590.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/878_866,0600.png,0610.png,0620.png,0630.png,0640.png,0650.png,0660.png,0670.png,0680.png,0690.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/720_672,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/720_672,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/720_672,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/720_672,0300.png,0310.png,0320.png,0330.png,0340.png,0350.png,0360.png,0370.png,0380.png,0390.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/720_672,0400.png,0410.png,0420.png,0430.png,0440.png,0450.png,0460.png,0470.png,0480.png,0490.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/866_878,0000.png,0010.png,0020.png,0030.png,0040.png,0050.png,0060.png,0070.png,0080.png,0090.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/866_878,0100.png,0110.png,0120.png,0130.png,0140.png,0150.png,0160.png,0170.png,0180.png,0190.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/866_878,0200.png,0210.png,0220.png,0230.png,0240.png,0250.png,0260.png,0270.png,0280.png,0290.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/866_878,0300.png,0310.png,0320.png,0330.png,0340.png,0350.png,0360.png,0370.png,0380.png,0390.png,1
FF_data/fake/manipulated_sequences/Deepfakes/c40/images/866_878,0400.png,0410.png,0420.png,0430.png,0440.png,0450.png,0460.png,0470.png,0480.png,0490.png,1
FF_data/DFD_real/original_sequences/actors/c40/images/01__kitchen_pan,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/01__kitchen_pan,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/01__kitchen_pan,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/01__kitchen_pan,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/01__kitchen_pan,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0501.png,0511.png,0521.png,0531.png,0541.png,0551.png,0561.png,0571.png,0581.png,0591.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0601.png,0611.png,0621.png,0631.png,0641.png,0651.png,0661.png,0671.png,0681.png,0691.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/18__kitchen_pan,0701.png,0711.png,0721.png,0731.png,0741.png,0751.png,0761.png,0771.png,0781.png,0791.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0501.png,0511.png,0521.png,0531.png,0541.png,0551.png,0561.png,0571.png,0581.png,0591.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0601.png,0611.png,0621.png,0631.png,0641.png,0651.png,0661.png,0671.png,0681.png,0691.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0701.png,0711.png,0721.png,0731.png,0741.png,0751.png,0761.png,0771.png,0781.png,0791.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0801.png,0811.png,0821.png,0831.png,0841.png,0851.png,0861.png,0871.png,0881.png,0891.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__podium_speech_happy,0901.png,0911.png,0921.png,0931.png,0941.png,0951.png,0961.png,0971.png,0981.png,0991.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0501.png,0511.png,0521.png,0531.png,0541.png,0551.png,0561.png,0571.png,0581.png,0591.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0601.png,0611.png,0621.png,0631.png,0641.png,0651.png,0661.png,0671.png,0681.png,0691.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/06__outside_talking_still_laughing,0701.png,0711.png,0721.png,0731.png,0741.png,0751.png,0761.png,0771.png,0781.png,0791.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/27__kitchen_pan,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/27__kitchen_pan,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/27__kitchen_pan,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/27__kitchen_pan,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/27__kitchen_pan,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0501.png,0511.png,0521.png,0531.png,0541.png,0551.png,0561.png,0571.png,0581.png,0591.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0601.png,0611.png,0621.png,0631.png,0641.png,0651.png,0661.png,0671.png,0681.png,0691.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/07__talking_against_wall,0701.png,0711.png,0721.png,0731.png,0741.png,0751.png,0761.png,0771.png,0781.png,0791.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0501.png,0511.png,0521.png,0531.png,0541.png,0551.png,0561.png,0571.png,0581.png,0591.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0601.png,0611.png,0621.png,0631.png,0641.png,0651.png,0661.png,0671.png,0681.png,0691.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0701.png,0711.png,0721.png,0731.png,0741.png,0751.png,0761.png,0771.png,0781.png,0791.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0801.png,0811.png,0821.png,0831.png,0841.png,0851.png,0861.png,0871.png,0881.png,0891.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,0901.png,0911.png,0921.png,0931.png,0941.png,0951.png,0961.png,0971.png,0981.png,0991.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,1001.png,1011.png,1021.png,1031.png,1041.png,1051.png,1061.png,1071.png,1081.png,1091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,1101.png,1111.png,1121.png,1131.png,1141.png,1151.png,1161.png,1171.png,1181.png,1191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__walking_down_indoor_hall_disgust,1201.png,1211.png,1221.png,1231.png,1241.png,1251.png,1261.png,1271.png,1281.png,1291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0501.png,0511.png,0521.png,0531.png,0541.png,0551.png,0561.png,0571.png,0581.png,0591.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0601.png,0611.png,0621.png,0631.png,0641.png,0651.png,0661.png,0671.png,0681.png,0691.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0701.png,0711.png,0721.png,0731.png,0741.png,0751.png,0761.png,0771.png,0781.png,0791.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0801.png,0811.png,0821.png,0831.png,0841.png,0851.png,0861.png,0871.png,0881.png,0891.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/13__talking_against_wall,0901.png,0911.png,0921.png,0931.png,0941.png,0951.png,0961.png,0971.png,0981.png,0991.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/09__walking_down_street_outside_angry,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/09__walking_down_street_outside_angry,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/09__walking_down_street_outside_angry,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/09__walking_down_street_outside_angry,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/09__walking_down_street_outside_angry,0401.png,0411.png,0421.png,0431.png,0441.png,0451.png,0461.png,0471.png,0481.png,0491.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__talking_against_wall,0001.png,0011.png,0021.png,0031.png,0041.png,0051.png,0061.png,0071.png,0081.png,0091.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__talking_against_wall,0101.png,0111.png,0121.png,0131.png,0141.png,0151.png,0161.png,0171.png,0181.png,0191.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__talking_against_wall,0201.png,0211.png,0221.png,0231.png,0241.png,0251.png,0261.png,0271.png,0281.png,0291.png,0
FF_data/DFD_real/original_sequences/actors/c40/images/08__talking_against_wall,0301.png,0311.png,0321.png,0331.png,0341.png,0351.png,0361.png,0371.png,0381.png,0391.png,0
